language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations,exit_status
CPP,,set-soft-tvision,ed310507ea43b949dadc065484e7e398c68cc866,tvision/classes/ipstream.cc,0,0,0,0,failed_to_read,,,,,
C,,set-soft-tvision,a3658036a82ac89e4264807d3a065945eadef023,tvision/compat/releasec.c,0,0,0,0,failed_to_read,,,,,
C,,signalapp-libsignal-protocol-c,91c161baf02d3afe14b6c9792b8bdb1390b1c2c1,tests/test_session_builder.c,0,0,0,0,failed_to_read,,,,,
CPP,,silnrsi-teckit,c60164e65c69d9cce2585e213869660031b19a8c,source/UnicodeNames.cpp,1371389,1573446,348305,400155,timed_out,,,,,
CSharp,,silnrsi-teckit,d60c1265dc6c39b988efdd8eefeb0fdfa1181434,zlib-1.2.13/contrib/dotzlib/DotZLib/CircularBuffer.cs,0,0,0,0,failed_to_read,,,,,
Ruby,,skk-dev-skktools,43e21323096bb31770f66fc60f14a11580030677,convert2skk/canna2skk.rb,0,0,0,0,failed_to_read,,,,,
C,,sphair-ClanLib,3fa26cecb318f69b5ed7179167ed93b8d3749e31,Sources/Display/ImageProviders/JPEGLoader/jpeg_start_of_frame.h,0,0,0,0,failed_to_read,,,,,
C,,steelman-xystray,9a098cf5f3c12fc9837e162b6da1daab156d9136,Xystray.c,0,0,0,0,failed_to_read,,,,,
ShellScript,,sukria-Backup-Manager,6cf5bb14f8f57cd5b65c76ecba267781cc327cc5,lib/md5sum.sh,0,0,0,0,failed_to_read,,,,,
ShellScript,,sukria-Backup-Manager,a7a64ed7d2e06ac7039545cbf31882c7532b8eef,lib/md5sum.sh,0,0,0,0,failed_to_read,,,,,
